頻道(官方帳號),,訂閱數(祐琳code),Youtuber分類(祉均),代名詞,道歉事件,,,YTR 類別,,,,,,
Dinter,FALSE,795000,,Dinter、丁特,✓,阿神,已在YTR list,電玩實況類,,,,,,
Dr. Ivan 6,TRUE,507000,,Dr. Ivan 6、Dr.Ivan,✓,阿滴英文,未在YTR list,知識教育類,,,,,其他,"Gary蓋瑞
https://www.youtube.com/channel/UCJ0zRk1F6a090G0Aaiby4Rg"
Hello Catie,TRUE,1090000,,Hello Catie、Catie,✓,阿滴英文,,美妝穿搭類,,,,,,
HowFun,TRUE,1410000,,HowHow、HowFun、How哥,✓,Joeman,,搞笑類,,,,,,"heyitsmindy
https://www.youtube.com/c/heyitsmindyy/videos"
Jinnytty 企鵝妹 윰찌,FALSE,295000,,企鵝妹,✓,Joeman,,生活類,,,,,,
Joeman,TRUE,2220000,,九妹、Joeman,✓,木曜4超玩,,生活類,,,,,,
NanaQ,TRUE,118000,,NanaQ,✓,木曜4超玩,,生活類,,,,,,
"Stand up, Brian! 博恩站起來！",TRUE,505000,,"Stand up, Brian! 博恩站起來！、鋼鋼、博恩",✓,谷阿莫,,搞笑類,,,,,,
Toyz,TRUE,687000,,Kurtis Lau Wai-kin、Toyz、劉偉健,✓,黃氏兄弟,,電玩實況類,,,,,,
VITO維特,TRUE,166000,,VITO維特、維特,✓,WACKYBOYS 反骨男孩,,生活類,,,,,,
WACKYBOYS 反骨男孩,TRUE,1560000,,WACKYBOYS 反骨男孩、WACKYBOYS、反骨男孩、反骨,✓,WACKYBOYS 反骨男孩,,搞笑類,,,,,,
heyitsmindy,TRUE,185000,,heyitsmindy、Mindy,✓,反骨 艾瑞絲,,美妝穿搭類,,,,,,
一隻阿圓 I am CIRCLE,TRUE,708000,,阿圓、一隻阿圓 I am CIRCLE、一隻阿圓,✓,反骨 艾瑞絲,,生活類,,,,,,
上班不要看 NSFW,TRUE,873000,,上班不要看、上班可以看、上班不要看 NSFW,✓,白癡公主,,搞笑類,,,,,,
丹妮婊姐星球,TRUE,356000,,婊姐、丹妮婊姐、丹妮婊姐星球,✓,滴妹,,美妝穿搭類,,,,,,
古娃娃WawaKu,TRUE,927000,,古娃娃、古娃娃WawaKu、wawawaku,✓,HowFun,,料理美食類,,,,,,
呱吉,TRUE,604000,,呱吉,✓,聖結石Saint,,生活類,,,,,,
大蛇丸,FALSE,930000,,大蛇丸,✓,聖結石Saint,,料理美食類,,,,,,
大麻煩,FALSE,416000,,大麻煩,✓,放火 Louis,,生活類,,,,,,
孫安佐,TRUE,212000,,孫華、孫安佐、Edward Sun,✓,愛莉莎莎 Alisasa,,生活類,,,,,,
愛莉莎莎 Alisasa,TRUE,1180000,,愛莉莎莎 Alisasa、愛莉莎莎,✓,愛莉莎莎 Alisasa,,生活類,,,,,,
放火 Louis,TRUE,1240000,,放火、李育群、放火 Louis,✓,愛莉莎莎 Alisasa,,搞笑類,,,,,,
木曜4超玩,TRUE,2190000,,木曜4超玩,✓,理科太太,,生活類,,,,,,
波特王 Potter King,FALSE,883000,,波特王 Potter King、Potter King、波特王,,Hello Catie,X,搞笑類,,,,,,
滴妹,TRUE,1420000,,滴妹、都冠伶,✓,鍾明軒,,生活類,,,,,,
理科太太,TRUE,1120000,,陳映彤、理科太太,✓,鍾明軒,,知識教育類,,,,,,
瑀熙 Yuci,TRUE,678000,,大王瑀康熙、Yuci、瑀熙、瑀熙 Yuci,✓,蔡桃貴 蔡阿嘎二伯's Family,,生活類,,,,,,
白癡公主,TRUE,1540000,,王美、戴平雅、A減、白癡公主、貧乳界女神、痴痴,✓,蔡桃貴 蔡阿嘎二伯's Family,,生活類,,,,,,
米砂Misa,TRUE,910000,,老濕姬、米砂、Misa、米砂Misa、江佳儒,✓,古娃娃WawaKu,,生活類,,,,,,
統神大戲院,TRUE,108000,,張嘉航、統神、統神大戲院,✓,米砂Misa,,電玩實況類,,,,,,
綠眼鏡Punk,TRUE,121000,,綠眼鏡Punk、綠眼鏡、徐晢軒,✓,米砂Misa,,生活類,,,,,,
聖結石Saint,TRUE,1340000,,曾聖傑、聖結石Saint、聖結石,✓,黃大謙,,生活類,,,,,,
蔡桃貴 蔡阿嘎二伯's Family,TRUE,970000,,二伯、蔡桃貴、蔡桃貴 蔡阿嘎二伯's Family、蔡阿嘎,✓,上班不要看 NSFW,,生活類,,,,,,
見習網美小吳,FALSE,1050000,,見習網美小吳,✓,一隻阿圓 I am CIRCLE,,生活類,,,,,,
許藍方博士 Dr. Gracie,FALSE,289000,,許藍方博士、許藍方博士 Dr. Gracie、Dr. Gracie、許藍方,✓,Toyz,,知識教育類,,,,,,
谷阿莫,TRUE,1980000,,谷阿莫,✓,Toyz,,搞笑類,,,,,,
鍾明軒,TRUE,1070000,,煎熬弟、鍾明軒,✓,瑀熙 Yuci,,生活類,,,,,,
阿滴英文,TRUE,2690000,,阿滴英文、都省瑞、阿滴,✓,呱吉,,知識教育類,,,,,,
阿神,TRUE,2780000,,阿神、芋圓柚子OEUR.studio,✓,呱吉,,電玩實況類,,,,,,
阿翰po影片,FALSE,378000,,阿翰po影片、阿翰,,Dr. Ivan 6,,搞笑類,,,,,,
黃大謙,TRUE,903000,,大謙、黃大謙,✓,"Stand up, Brian! 博恩站起來！",,搞笑類,,,,,,
黃氏兄弟,TRUE,1860000,,黃氏兄弟,✓,"Stand up, Brian! 博恩站起來！",,生活類,,,,,,
鼻地大師國動-張葦航,TRUE,226000,,國棟、鼻地大師、動主播、張葦航、鼻地大師國動-張葦航、國動,✓,龍龍LungLung,,電玩實況類,,,,,,
龍龍LungLung,TRUE,356000,,LungLung、龍龍、龍龍LungLung,✓,丹妮婊姐星球,,搞笑類,,,,,,
尼克&ASHLY,FALSE,564000,,尼克、ASHLY,✓,丹妮婊姐星球,,生活類,,,,,,
Pan Piano,FALSE,2970000,,,✓,丹妮婊姐星球,,生活類,,,,,,
Stanley 史丹利,FALSE,441000,,史丹利,,丹妮婊姐星球,,電玩實況類,,,,,,
奎丁Zamy,FALSE,573000,,奎丁,✓,孫安佐,,生活類,,,,,,
孫生又來了,FALSE,255000,,孫生,✓,heyitsmindy,,生活類,,,,,,
我愛貓大,FALSE,1140000,,,,VITO維特,,搞笑類,,,,,,
搞神馬,FALSE,1260000,,阿神,,綠眼鏡Punk,,電玩實況類,,,,,,
攝徒日記Fun TV,FALSE,472000,,攝徒日記,,NanaQ,,知識教育類,,,,,,
本本,FALSE,669000,,,✓,統神大戲院,,生活類,,,,,,
牛排生活 Steak's Life,FALSE,579000,,牛排生活,✓,統神大戲院,,料理美食類,,,,,,
眼球中央電視台,FALSE,1080000,,,✓,鼻地大師國動-張葦航,,搞笑類,,,,,,
Aries艾瑞絲,FALSE,444000,,艾瑞絲,✓,,,生活類,,,,,,
這批太純,FALSE,130000,,,,,,搞笑類,,,,,,
Alina鄭茵聲,FALSE,229000,,茵聲、鄭茵聲,,,,生活類,,,,,,
酷炫老師,FALSE,624000,,酷炫,✓,,,生活類,,,,,,